datetime,cluster_0,cluster_1,cluster_2,cluster_3,cluster_4,cluster_5,cluster_6,cluster_7,cluster_8,cluster_9,cluster_10,cluster_11,cluster_12,cluster_13,cluster_14
2023-01-01 00:00:00,0.021513623849049448,0.014492506047534687,0.016195676467998677,0.020068120230100076,0.015739843486712805,0.018531601008582643,0.016107305260986835,0.01713377427747671,0.022256723374378465,0.017823325532716722,0.018237067730995316,0.019564491127133515,0.017120115166612,0.0156708111797889,0.01682207122592232
2023-01-01 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-01 11:00:00,0.03257195693830092,0.022855747601608776,0.020965725910183884,0.018999164719037537,0.022607522504756634,0.018722938132841926,0.027160828262693688,0.024513214551117896,0.032990773883990875,0.02787295653039634,0.0256329835655178,0.018240848705306303,0.0292460761400703,0.0208886226896815,0.015269173573707108
2023-01-01 12:00:00,0.14666984218747817,0.1294703223315307,0.1260263990719444,0.056998759189404634,0.11546969463272476,0.060154682808335684,0.11768549995601031,0.14750927556881605,0.1674466029649938,0.120551807636446,0.13040958965004465,0.07618232335424804,0.1593464126602056,0.1558167772537286,0.04532701281617921
2023-01-01 13:00:00,0.3153661918059507,0.23301179600481522,0.25098232300849854,0.07473979820926273,0.21087436827945913,0.04774115643458575,0.1268532068639232,0.27157484160632955,0.345533186179524,0.14778924351166614,0.20940768882234703,0.12189790604887113,0.3017939715254409,0.3282125586716442,0.04617811829530817
2023-01-01 14:00:00,0.5249031512042808,0.3088879055185478,0.39010437902570566,0.15370802427892546,0.33232077356253115,0.08465976344412851,0.12161070828510981,0.3466933844104671,0.4915346115617641,0.1850994706006968,0.2383131121678282,0.17104586165544972,0.3522308968072789,0.4343860889769599,0.07254693073985735
2023-01-01 15:00:00,0.6049190868140886,0.3494938617788946,0.517115560502254,0.19838157772785286,0.48767831981999926,0.15223279079229646,0.17066291809979384,0.43598531685273406,0.5522687606377763,0.27989588071701393,0.2998855043944034,0.20383503351548052,0.3057905040051958,0.462250068744547,0.10767090247562167
2023-01-01 16:00:00,0.6822477740789096,0.3092300995651118,0.5061978531411094,0.23296079164643085,0.4270965395017202,0.1695444128760091,0.14575450154065236,0.4089371225586542,0.4954597022464875,0.2273092843162696,0.23545159209558925,0.24017210596064675,0.2261666372240136,0.5820522910351494,0.112093555167355
2023-01-01 17:00:00,0.7075811115045296,0.37316040936728534,0.6121592462720814,0.38924194835086046,0.515139316354662,0.33336565828202847,0.22595504010268253,0.5092765043344815,0.4559453388885103,0.33169648223545134,0.3450524268565258,0.3724347873693955,0.2068045463155033,0.6398151486409733,0.223971974248493
2023-01-01 18:00:00,0.6784002670124963,0.35007419024173425,0.4396364891074909,0.466326204299226,0.41395550730232233,0.4560980123438002,0.3471288336134041,0.4773220258144625,0.5303185873530876,0.3986311807483312,0.47502932945962323,0.5262943243037526,0.2941864826388479,0.5714894781599844,0.3779182409279452
2023-01-01 19:00:00,0.6324480668151076,0.4461136551289694,0.3253918649280913,0.5689614364297796,0.35282968425694133,0.5825090773206119,0.5565708865753876,0.4254724736658794,0.6071118489090217,0.4889576640847626,0.48040269619278664,0.5600405205746286,0.5439218009109273,0.589033544339756,0.5597592234765896
2023-01-01 20:00:00,0.6110010191454991,0.4369089584414285,0.3972523930158229,0.4997413647775204,0.4331514821397778,0.4515697980431185,0.39542863093471997,0.4368470418317126,0.5473831593141245,0.43469543836032504,0.48474585171537415,0.5257407171523607,0.4402625236036333,0.4358759770169702,0.3812474903074548
2023-01-01 21:00:00,0.4560719419221195,0.34059425188529024,0.2692032352236601,0.4635623788048716,0.28097090442375705,0.4267187213120186,0.3807094237398339,0.33592657707746576,0.4431483513038509,0.38058993163938354,0.39009215403730857,0.47694000048676644,0.3848972795018787,0.4423946815406572,0.3372011718103536
2023-01-01 22:00:00,0.27879371390711855,0.19220832718871406,0.20311428306170937,0.3225642117939168,0.1866044521595751,0.2720922894539,0.21882392902355435,0.2360135208775487,0.2843281034707541,0.2438245893482112,0.26704667053570313,0.3317498220618973,0.2461967251899544,0.2781914900277994,0.24006103942912477
2023-01-01 23:00:00,0.12303746669315829,0.10454302664810732,0.09319548047711929,0.15358577888078578,0.109594335720912,0.14021133428125476,0.11621480367602913,0.11444547602129561,0.11635413965265354,0.13393790452260296,0.1394588734858562,0.15825910819829392,0.0942283360399639,0.1190939842613783,0.10927039795736407
2023-01-02 00:00:00,0.013354051500567676,0.013508842099906108,0.017585079172789838,0.018708709302754988,0.01639254447275362,0.01761623910488733,0.015841865583830304,0.01789839056637412,0.012544939754909203,0.017794830418194615,0.018250918541991637,0.01856738291196005,0.0120711294836417,0.0175419259693238,0.017138205797530025
2023-01-02 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-02 11:00:00,0.039635066813737574,0.04260616429195555,0.026121218675128486,0.025603850314323655,0.03590627472264855,0.024355648398999938,0.029066020768816214,0.021567646758360773,0.0404667892446398,0.02513293776802181,0.02322684847757614,0.025799968762245773,0.0423594056208321,0.0209924635045712,0.02875667834874486
2023-01-02 12:00:00,0.20764970695909785,0.18698054933531344,0.19018512626098344,0.17779425257276887,0.19029322721838254,0.1869332023406452,0.1841322941612202,0.18740563480406422,0.1974939444127099,0.18488777593450667,0.18407062691411444,0.16871188147553495,0.1843604537603795,0.1857389999209584,0.18573622830648476
2023-01-02 13:00:00,0.4103491056966612,0.4090675545017418,0.40411628835335867,0.37318361818310464,0.4098949010550681,0.3859492912741887,0.3914986443903412,0.4034345186090821,0.384764739257654,0.39755221273202357,0.3972580224461211,0.35643779835068146,0.3841939864301712,0.4039843875112069,0.3696277211850817
2023-01-02 14:00:00,0.5647251984349186,0.6020060581360949,0.5859232262047366,0.533380250961178,0.5998663365504612,0.5177050899331184,0.5514057434379726,0.5799937697630809,0.522860461631323,0.5694303222270579,0.5641117578076074,0.5145314833457979,0.5634965948658448,0.5880424624218842,0.4649401679151927
2023-01-02 15:00:00,0.720750219971825,0.7148717794714119,0.6993656929028291,0.6329140585346206,0.6988277976244307,0.6131144749225232,0.6339070188431667,0.6913810348549067,0.6705662016331788,0.6404208727193953,0.6752598302929492,0.6474130655285592,0.6963516593317303,0.718701175525082,0.6034916702879106
2023-01-02 16:00:00,0.7864273692455517,0.8143917266549756,0.7943073092230836,0.7695763848238368,0.8041846165539281,0.7493234369203013,0.7744459674520892,0.7869388308604883,0.7942628907004091,0.777855918214952,0.7895467769888311,0.7881388995674301,0.824450670829429,0.7919051763474915,0.7536004898583817
2023-01-02 17:00:00,0.7995573227962942,0.8701950890432537,0.8336293977012729,0.7792601680588822,0.8596680908383838,0.755197343721186,0.8255554823373411,0.8364697532852158,0.7407664051308607,0.8309178763914281,0.8397160058984863,0.8251902525597699,0.8191948106020094,0.8389914272232013,0.7400454330031545
2023-01-02 18:00:00,0.8398005809077411,0.8596540965306634,0.83043680702981,0.7794108967386812,0.8510080284340739,0.7304276619174954,0.7963737237120987,0.8303979650739842,0.8561270048907117,0.826455409489922,0.8372162247843864,0.836655690229051,0.8583101886487607,0.8364514497078854,0.6754076795178279
2023-01-02 19:00:00,0.8058006688145658,0.7886712467818903,0.7748965186512425,0.5672494763217456,0.7895275419114617,0.5316715069396395,0.6741803448721303,0.7717491139720561,0.7988146814108388,0.7100652676298201,0.7375852503919121,0.6567108478529973,0.772603083717141,0.7894441359494895,0.45296689957070313
2023-01-02 20:00:00,0.6652931073520129,0.6237331047122707,0.6721538300015929,0.48904830666649696,0.637686298345726,0.3829564450321509,0.4306505877015729,0.6583094757260884,0.6295538235891155,0.5181675679248652,0.621159339968934,0.588183384354199,0.608768675555497,0.6931768466503346,0.30833032366073854
2023-01-02 21:00:00,0.5120604698015028,0.48115532041787684,0.5292455339903004,0.3267860690364406,0.4951072590210684,0.2565167658995918,0.3221927216565667,0.5124129979511569,0.5249815149905419,0.37114581782161765,0.4638826630156835,0.429059374616251,0.5049481160619921,0.5488384060750111,0.25191754486700335
2023-01-02 22:00:00,0.34525462014545977,0.2859703000951873,0.3396874800358369,0.2868591793368155,0.3097141518662375,0.20123913898982976,0.1813832445848344,0.3323236574861918,0.3315545213282276,0.26354400103630915,0.3230741760081449,0.3274848607483137,0.2778310609081516,0.3553299949807892,0.12370239938520057
2023-01-02 23:00:00,0.12715815312376239,0.12499799628128838,0.13759465831554193,0.13098874585920256,0.13625160362608074,0.10936660360482658,0.11334436081560756,0.1336866718388105,0.12154741554095085,0.1347828303227293,0.12902506278650902,0.13266759257453214,0.1126116528605354,0.1399182276867172,0.07611498830926776
2023-01-03 00:00:00,0.0135200354613615,0.017210851640210287,0.015491417355468516,0.019239416626394893,0.016738518278085594,0.015796412833017318,0.01633484482380233,0.016814768707322257,0.014187056985593194,0.018469625727095443,0.017886761698931435,0.01873042313436822,0.0162812708560835,0.0177802538547282,0.011663454329425862
2023-01-03 01:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 02:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 03:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 04:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 05:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 06:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 07:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 08:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 09:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2023-01-03 10:00:00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
